_id,recommended,rating_valuemoney,rating_overall,rating_inflightEnt,rating_cabinstaff,rating_seatcomfort,rating_foodbeverage
ObjectId(58994af99bf56223b02ab897),0,1,2,1,1,1,1
ObjectId(58994af99bf56223b02ab899),0,1,1,3,2,2,1
ObjectId(58994af99bf56223b02ab89b),1,5,10,4,5,5,5
ObjectId(58994af99bf56223b02ab89d),1,5,9,NaN,5,3,4
ObjectId(58994af99bf56223b02ab89f),1,4,7,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab8a1),1,5,10,4,5,5,5
ObjectId(58994af99bf56223b02ab8a3),0,0,NaN,3,3,0,3
ObjectId(58994af99bf56223b02ab8a5),0,1,NaN,0,1,0,0
ObjectId(58994af99bf56223b02ab8a7),0,4,7,3,5,3,5
ObjectId(58994af99bf56223b02ab8a9),0,NaN,1,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab8aa),1,4,10,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab8ab),0,1,NaN,1,1,3,1
ObjectId(58994af99bf56223b02ab8ac),1,NaN,10,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab8ad),1,4,5,4,4,4,4
ObjectId(58994af99bf56223b02ab8ae),1,5,8,3,4,3,0
ObjectId(58994af99bf56223b02ab8af),0,2,1,0,4,3,0
ObjectId(58994af99bf56223b02ab8b2),1,4,7,3,4,3,3
ObjectId(58994af99bf56223b02ab8b4),1,5,6,4,4,4,3
ObjectId(58994af99bf56223b02ab8b6),0,3,1,3,3,5,1
ObjectId(58994af99bf56223b02ab8b7),0,2,4,1,2,2,2
ObjectId(58994af99bf56223b02ab8b9),0,3,4,1,1,2,3
ObjectId(58994af99bf56223b02ab8bb),0,3,2,NaN,1,2,2
ObjectId(58994af99bf56223b02ab8bd),0,0,NaN,1,1,3,0
ObjectId(58994af99bf56223b02ab8bf),0,2,4,1,5,1,2
ObjectId(58994af99bf56223b02ab8c1),1,3,10,NaN,5,5,5
ObjectId(58994af99bf56223b02ab8c3),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab8c5),0,2,1,2,3,1,2
ObjectId(58994af99bf56223b02ab8c8),0,1,1,1,1,1,1
ObjectId(58994af99bf56223b02ab8ca),1,5,8,1,3,1,1
ObjectId(58994af99bf56223b02ab8cc),1,4,8,5,4,3,4
ObjectId(58994af99bf56223b02ab95e),0,1,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab960),1,4,8,NaN,4,3,0
ObjectId(58994af99bf56223b02ab962),0,1,1,4,3,4,1
ObjectId(58994af99bf56223b02ab964),1,5,10,0,5,4,5
ObjectId(58994af99bf56223b02ab966),0,3,4,1,2,4,1
